target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	43.3862	0	0
ENSGALT00000092144.1	105	61.4407	0	0
ENSGALT00000097599.1	99	58.5536	0	0
ENSGALT00000096074.1	282	43.3862	0	0
ENSGALT00000093123.1	285	44.2944	0	0
ENSGALT00000095759.1	297	47.9863	0	0
ENSGALT00000098150.1	207	26.2436	0	0
ENSGALT00000088071.2	171	20.873	0	0
ENSGALT00000101747.1	111	64.3871	0	0
ENSGALT00000034018.5	285	44.2944	0	0
ENSGALT00000098775.1	282	43.3862	0	0
ENSGALT00000105314.1	288	45.2035	0	0
ENSGALT00000103186.1	204	25.4076	0	0
ENSGALT00000095006.1	282	43.3862	0	0
ENSGALT00000093599.1	297	47.9863	0	0
ENSGALT00000106599.1	288	45.2035	0	0
ENSGALT00000106076.1	288	45.2035	0	0
ENSGALT00000092569.1	207	26.2436	0	0
ENSGALT00000097506.1	282	43.3862	0	0
ENSGALT00000102408.1	174	20.9132	0	0
ENSGALT00000085358.2	261	37.765	0	0
ENSGALT00000090665.1	207	26.2436	0	0
ENSGALT00000104147.1	282	43.3862	0	0
ENSGALT00000009519.6	312	53.945	22	12.601
ENSGALT00000107510.1	303	50.4057	0	0
ENSGALT00000102297.1	300	49.1237	0	0
ENSGALT00000106260.1	300	49.1237	0	0
ENSGALT00000091808.1	303	50.4057	0	0
ENSGALT00000107033.1	300	49.1237	0	0
ENSGALT00000093063.1	303	50.4057	0	0
ENSGALT00000093463.1	303	50.4057	0	0
ENSGALT00000097156.1	300	49.1237	0	0
ENSGALT00000107238.1	306	51.476	0	0
ENSGALT00000103224.1	303	50.4057	0	0
ENSGALT00000076576.2	300	49.1237	0	0
ENSGALT00000100705.1	303	50.4057	0	0
ENSGALT00000095032.1	297	47.9863	0	0
ENSGALT00000095957.1	300	49.1237	0	0
ENSGALT00000104488.1	291	46.226	0	0
ENSGALT00000090393.1	300	49.1237	0	0
ENSGALT00000107783.1	300	49.1237	0	0
ENSGALT00000101333.1	300	49.1237	0	0
ENSGALT00000105767.1	300	49.1237	0	0
ENSGALT00000103134.1	303	50.4057	0	0
ENSGALT00000091408.1	300	49.1237	0	0
ENSGALT00000097586.1	300	49.1237	0	0
ENSGALT00000091033.1	303	50.4057	0	0
ENSGALT00000107771.1	300	49.1237	0	0
ENSGALT00000106915.1	303	50.4057	0	0
ENSGALT00000091553.1	303	50.4057	0	0
ENSGALT00000093743.1	303	50.4057	0	0
ENSGALT00000106326.1	303	50.4057	0	0
ENSGALT00000095681.1	300	49.1237	0	0
ENSGALT00000106995.1	300	49.1237	0	0
ENSGALT00000100646.1	300	49.1237	0	0
ENSGALT00000096595.1	303	50.4057	0	0
ENSGALT00000097847.1	300	49.1237	0	0
ENSGALT00000105763.1	303	50.4057	0	0
ENSGALT00000101575.1	300	49.1237	0	0
ENSGALT00000107864.1	303	50.4057	0	0
ENSGALT00000105971.1	300	49.1237	0	0
ENSGALT00000095502.1	303	50.4057	0	0
ENSGALT00000092747.1	300	49.1237	0	0
ENSGALT00000091562.1	306	51.476	0	0
ENSGALT00000094104.1	303	50.4057	0	0
ENSGALT00000090412.1	303	50.4057	0	0
ENSGALT00000101020.1	303	50.4057	0	0
ENSGALT00000102707.1	303	50.4057	0	0
ENSGALT00000093555.1	303	50.4057	0	0
ENSGALT00000096330.1	300	49.1237	0	0
ENSGALT00000096025.1	300	49.1237	0	0
ENSGALT00000107692.1	300	49.1237	0	0
ENSGALT00000105196.1	303	50.4057	0	0
ENSGALT00000093144.1	300	49.1237	0	0
ENSGALT00000095235.1	300	49.1237	0	0
ENSGALT00000094112.1	300	49.1237	0	0
ENSGALT00000100750.1	303	50.4057	0	0
ENSGALT00000105296.1	303	50.4057	0	0
ENSGALT00000098355.1	303	50.4057	0	0
ENSGALT00000098909.1	300	49.1237	0	0
ENSGALT00000104847.1	303	50.4057	0	0
ENSGALT00000108026.1	303	50.4057	0	0
ENSGALT00000103665.1	303	50.4057	0	0
ENSGALT00000105628.1	303	50.4057	0	0
ENSGALT00000097081.1	300	49.1237	0	0
ENSGALT00000105645.1	291	46.226	0	0
ENSGALT00000098506.1	300	49.1237	0	0
ENSGALT00000096927.1	303	50.4057	0	0
ENSGALT00000105629.1	303	50.4057	0	0
ENSGALT00000093613.1	300	49.1237	0	0
ENSGALT00000099537.1	303	50.4057	0	0
ENSGALT00000092633.1	303	50.4057	0	0
ENSGALT00000104205.1	303	50.4057	0	0
ENSGALT00000108182.1	303	50.4057	0	0
ENSGALT00000091267.1	303	50.4057	0	0
ENSGALT00000101555.1	303	50.4057	0	0
ENSGALT00000103901.1	303	50.4057	0	0
ENSGALT00000106578.1	303	50.4057	0	0
ENSGALT00000093220.1	348	72.4079	0	0
ENSGALT00000080481.1	975	672.286	1784	81.9927
ENSGALT00000082968.2	1039	736.272	2122	89.0516
ENSGALT00000053568.1	1548	1245.27	40475	1004.29
ENSGALT00000054328.1	684	382.102	13527	1093.85
ENSGALT00000054361.1	165	22.1934	43	59.8657
ENSGALT00000076413.1	684	382.102	6135	496.101
ENSGALT00000061564.1	784	481.628	28418	1823.12
ENSGALT00000049217.1	351	74.3624	1305	542.24
ENSGALT00000079811.1	297	47.9863	212	136.507
ENSGALT00000063913.1	1378	1075.27	1877	53.9362
ENSGALT00000047001.1	1818	1515.27	4672	95.2679
ENSGALT00000053400.1	1143	840.272	6567	241.48
ENSGALT00000068151.1	522	222.417	229	31.8128
ENSGALT00000015774.6	2848	2545.27	609	7.39295
ENSGALT00000107714.1	192	23.2604	0	0
ENSGALT00000087687.2	2219	1916.27	2894.43	46.6702
ENSGALT00000007277.3	2291	1988.27	2248.57	34.9434
ENSGALT00000016200.6	2519	2216.27	1510	21.0518
ENSGALT00000057018.2	2043	1740.27	240.491	4.26989
ENSGALT00000064690.2	2193	1890.27	39.5087	0.645807
ENSGALT00000103853.1	2238	1935.27	0	0
ENSGALT00000095972.1	1968	1665.27	0	0
ENSGALT00000052654.2	3495	3192.27	6454	62.4688
ENSGALT00000061915.3	970	667.338	1040	48.1528
ENSGALT00000033572.5	2547	2244.27	241.633	3.32671
ENSGALT00000076955.2	2058	1755.27	185.367	3.26305
ENSGALT00000107965.1	2460	2157.27	3869.8	55.4266
ENSGALT00000080793.2	1206	903.272	481.806	16.4812
ENSGALT00000001657.6	1354	1051.27	4276.27	125.685
ENSGALT00000038720.4	2784	2481.27	95.7264	1.19204
ENSGALT00000064754.2	2359	2056.27	7103	106.732
ENSGALT00000096825.1	3212	2909.27	2726.61	28.9583
ENSGALT00000089429.2	1386	1083.27	80.9067	2.30771
ENSGALT00000085779.2	1599	1296.27	77	1.83539
ENSGALT00000057265.2	1520	1217.27	309.431	7.85434
ENSGALT00000069945.2	1266	963.272	508.996	16.3267
ENSGALT00000093812.1	1700	1397.27	1140.49	25.22
ENSGALT00000017109.6	1577	1274.27	67.0817	1.62658
ENSGALT00000103291.1	2658	2355.27	30.1958	0.396132
ENSGALT00000084934.2	2580	2277.27	15.8042	0.214433
ENSGALT00000095264.1	2724	2421.27	0	0
ENSGALT00000093947.1	2976	2673.27	0	0
ENSGALT00000005824.5	3364	3061.27	12693.8	128.122
ENSGALT00000069539.2	1440	1137.27	1399.17	38.0137
ENSGALT00000092213.1	165	22.1934	0	0
ENSGALT00000044892.3	417	124.264	0	0
ENSGALT00000015470.6	1305	1002.27	979	30.1809
ENSGALT00000094180.1	3408	3105.27	1289.77	12.8335
ENSGALT00000093577.1	3924	3621.27	1768.94	15.0933
ENSGALT00000094724.1	3282	2979.27	562.61	5.83488
ENSGALT00000101384.1	4524	4221.27	1447.52	10.5953
ENSGALT00000068770.2	2865	2562.27	1460.51	17.6122
ENSGALT00000091629.1	1637	1334.27	133.663	3.0953
ENSGALT00000100108.1	957	654.364	41.1089	1.94111
ENSGALT00000003008.6	2586	2283.27	243.891	3.30045
ENSGALT00000102256.1	2454	2151.27	0	0
ENSGALT00000071948.2	2889	2586.27	348	4.15757
ENSGALT00000083823.2	222	29.7542	0	0
ENSGALT00000027260.6	2443	2140.27	2280.8	32.927
ENSGALT00000095138.1	2468	2165.27	0	0
ENSGALT00000104589.1	3532	3229.27	74.1998	0.709958
ENSGALT00000087385.2	1551	1248.27	56	1.38616
ENSGALT00000018638.6	1513	1210.27	1861	47.5114
