target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	43.2968	3	3.1459
ENSGALT00000092144.1	105	59.9793	0	0
ENSGALT00000097599.1	99	57.3139	0	0
ENSGALT00000096074.1	282	43.2968	0	0
ENSGALT00000093123.1	285	44.0511	0	0
ENSGALT00000095759.1	297	46.7943	0	0
ENSGALT00000098150.1	207	33.004	0	0
ENSGALT00000088071.2	171	36.2743	0	0
ENSGALT00000101747.1	111	63.8867	0	0
ENSGALT00000034018.5	285	44.0511	12	12.3681
ENSGALT00000098775.1	282	43.2968	1	1.04863
ENSGALT00000105314.1	288	44.8136	3	3.03942
ENSGALT00000103186.1	204	33.017	0	0
ENSGALT00000095006.1	282	43.2968	14.5833	15.2926
ENSGALT00000093599.1	297	46.7943	29	28.1375
ENSGALT00000106599.1	288	44.8136	9	9.11827
ENSGALT00000106076.1	288	44.8136	0	0
ENSGALT00000092569.1	207	33.004	0	0
ENSGALT00000097506.1	282	43.2968	0	0
ENSGALT00000102408.1	174	34.8877	0	0
ENSGALT00000085358.2	261	39.392	0	0
ENSGALT00000090665.1	207	33.004	1	1.37567
ENSGALT00000104147.1	282	43.2968	10.4167	10.9233
ENSGALT00000009519.6	312	51.506	1680	1480.92
ENSGALT00000107510.1	303	48.4047	8.58441	8.05199
ENSGALT00000102297.1	300	47.6228	1.10589	1.05433
ENSGALT00000106260.1	300	47.6228	0	0
ENSGALT00000091808.1	303	48.4047	7.83607	7.35006
ENSGALT00000107033.1	300	47.6228	0	0
ENSGALT00000093063.1	303	48.4047	1.441	1.35162
ENSGALT00000093463.1	303	48.4047	2.03793	1.91153
ENSGALT00000097156.1	300	47.6228	0	0
ENSGALT00000107238.1	306	49.426	0	0
ENSGALT00000103224.1	303	48.4047	23.0581	21.628
ENSGALT00000076576.2	300	47.6228	14.4947	13.8189
ENSGALT00000100705.1	303	48.4047	21.2768	19.9571
ENSGALT00000095032.1	297	46.7943	0	0
ENSGALT00000095957.1	300	47.6228	5.31263	5.06494
ENSGALT00000104488.1	291	45.5432	0	0
ENSGALT00000090393.1	300	47.6228	0	0
ENSGALT00000107783.1	300	47.6228	0	0
ENSGALT00000101333.1	300	47.6228	2.59182	2.47098
ENSGALT00000105767.1	300	47.6228	15.7482	15.014
ENSGALT00000103134.1	303	48.4047	1.21538	1.14
ENSGALT00000091408.1	300	47.6228	0	0
ENSGALT00000097586.1	300	47.6228	0	0
ENSGALT00000091033.1	303	48.4047	2.08257	1.95341
ENSGALT00000107771.1	300	47.6228	0	0
ENSGALT00000106915.1	303	48.4047	1.69553	1.59037
ENSGALT00000091553.1	303	48.4047	0	0
ENSGALT00000093743.1	303	48.4047	0	0
ENSGALT00000106326.1	303	48.4047	5.25913	4.93295
ENSGALT00000095681.1	300	47.6228	4.10223	3.91097
ENSGALT00000106995.1	300	47.6228	0	0
ENSGALT00000100646.1	300	47.6228	25.8249	24.6208
ENSGALT00000096595.1	303	48.4047	23.3701	21.9206
ENSGALT00000097847.1	300	47.6228	0	0
ENSGALT00000105763.1	303	48.4047	0	0
ENSGALT00000101575.1	300	47.6228	0	0
ENSGALT00000107864.1	303	48.4047	0	0
ENSGALT00000105971.1	300	47.6228	0	0
ENSGALT00000095502.1	303	48.4047	0	0
ENSGALT00000092747.1	300	47.6228	0	0
ENSGALT00000091562.1	306	49.426	0	0
ENSGALT00000094104.1	303	48.4047	23.0581	21.628
ENSGALT00000090412.1	303	48.4047	19.8568	18.6252
ENSGALT00000101020.1	303	48.4047	0.069571	0.065256
ENSGALT00000102707.1	303	48.4047	0	0
ENSGALT00000093555.1	303	48.4047	12.4642	11.6912
ENSGALT00000096330.1	300	47.6228	33.0413	31.5008
ENSGALT00000096025.1	300	47.6228	0	0
ENSGALT00000107692.1	300	47.6228	0	0
ENSGALT00000105196.1	303	48.4047	1.21538	1.14
ENSGALT00000093144.1	300	47.6228	0	0
ENSGALT00000095235.1	300	47.6228	0	0
ENSGALT00000094112.1	300	47.6228	3.55326	3.38759
ENSGALT00000100750.1	303	48.4047	1.86375	1.74816
ENSGALT00000105296.1	303	48.4047	6.08406	5.70671
